interaction_id,table_id,row_type,pdf_page,report_page,table_title,condition_nominal,phase,sub_step,off_nominal_event,context,seq,media,subj_group,subj_position,obj_group,obj_position,interaction,condition,text_as_printed,controller_positions,freq,crit,rating_source,cited_7110_65,bb_paragraph,extraction_flags
2.1#11,2.1,interaction,28,p.26,Table 2.1: Examples of Off-Nominal Flightdeck Interactions with ATC,off-nominal,Inflight,,,report item no. 11,11,,FD,,ATC,,Contact ATC if transponder fails,,11. Contact ATC if transponder fails,,,,,,n/a (flight-crew or FOC procedure; outside JO 7110.65),
2.1#12,2.1,interaction,28,p.26,Table 2.1: Examples of Off-Nominal Flightdeck Interactions with ATC,off-nominal,Inflight,,,report item no. 12,12,,FD,,ATC,,Revert to voice procedures If any question about clearance received via datalink,,12. Revert to voice procedures If any question about clearance received via datalink,,,,,,n/a (flight-crew or FOC procedure; outside JO 7110.65),
2.1#13,2.1,interaction,28,p.26,Table 2.1: Examples of Off-Nominal Flightdeck Interactions with ATC,off-nominal,Inflight,,,report item no. 13,13,,FD,,ATC,,Contact ATC by voice If no reply within 15 minutes of datalink request for clearance,,13. Contact ATC by voice If no reply within 15 minutes of datalink request for clearance,,,,,,n/a (flight-crew or FOC procedure; outside JO 7110.65),
2.1#14,2.1,interaction,28,p.26,Table 2.1: Examples of Off-Nominal Flightdeck Interactions with ATC,off-nominal,Inflight,,,report item no. 14,14,,FD,,ATC,,Verify clearance by voice If clearance confirmed message not receive within 5 minutes of sending CLA,,14. Verify clearance by voice If clearance confirmed message not receive within 5 minutes of sending CLA,,,,,,n/a (flight-crew or FOC procedure; outside JO 7110.65),
2.1#15,2.1,interaction,28,p.26,Table 2.1: Examples of Off-Nominal Flightdeck Interactions with ATC,off-nominal,Inflight,,,report item no. 15,15,,FD,,ATC,,Ask ATC for assistance,"If need to quickly, locate an off-line diversion airport to accommodate the aircraft","15. Ask ATC for assistance (If need to quickly, locate an off-line diversion airport to accommodate the aircraft)",,,,,,n/a (flight-crew or FOC procedure; outside JO 7110.65),
2.1#16,2.1,interaction,28,p.26,Table 2.1: Examples of Off-Nominal Flightdeck Interactions with ATC,off-nominal,Inflight,,,report item no. 16,16,,FD,,ATC,,Coordinate with ATC to determine the best course of action,If fuel crossfeed valve fails in closed position,16. Coordinate with ATC to determine the best course of action (If fuel crossfeed valve fails in closed position),,,,,,n/a (flight-crew or FOC procedure; outside JO 7110.65),
2.1#17,2.1,interaction,28,p.26,Table 2.1: Examples of Off-Nominal Flightdeck Interactions with ATC,off-nominal,Inflight,,,report item no. 17,17,,FD,,ATC,,Coordinate with ATC and other aircraft,If wake turbulence is encountered or anticipated,17. Coordinate with ATC and other aircraft (If wake turbulence is encountered or anticipated),,,,,,n/a (flight-crew or FOC procedure; outside JO 7110.65),
2.1#18,2.1,interaction,28,p.26,Table 2.1: Examples of Off-Nominal Flightdeck Interactions with ATC,off-nominal,Inflight,,,report item no. 18,18,,FD,,ATC,,Coordinate with ATC,If one engine inoperative,18. Coordinate with ATC (If one engine inoperative),,,,,,n/a (flight-crew or FOC procedure; outside JO 7110.65),
2.1#19,2.1,interaction,28,p.26,Table 2.1: Examples of Off-Nominal Flightdeck Interactions with ATC,off-nominal,Approach,,,report item no. 19,19,,FD,,ATC,,Coordinate with ATC,If navigation system failure,19. Coordinate with ATC (If navigation system failure),,,,,,n/a (flight-crew or FOC procedure; outside JO 7110.65),
2.1#20,2.1,interaction,28,p.26,Table 2.1: Examples of Off-Nominal Flightdeck Interactions with ATC,off-nominal,Approach,,,report item no. 20,20,,FD,,ATC,,Coordinate with ATC prior to applying any corrections,If Cold Temperature Approach Altitude Corrections,20. Coordinate with ATC prior to applying any corrections (If Cold Temperature Approach Altitude Corrections),,,,,,n/a (flight-crew or FOC procedure; outside JO 7110.65),
2.1#21,2.1,interaction,28,p.26,Table 2.1: Examples of Off-Nominal Flightdeck Interactions with ATC,off-nominal,Approach,,,report item no. 21,21,,FD,,ATC,,Receive advisory information from the controller,If deviation from glideslope,21. Receive advisory information from the controller (If deviation from glideslope),,,,,,n/a (flight-crew or FOC procedure; outside JO 7110.65),
2.2#01,2.2,interaction,29,p.27,Table 2.2: Examples of Off-Nominal Flightdeck Interactions with FOC,off-nominal,Preflight,,,report item no. 1,1,,FD,,FOC,,Captain and dispatch assessment will determine if pair is acceptable,If there is a SPAR condition/ procedure pair,1. Captain and dispatch assessment will determine if pair is acceptable (If there is a SPAR condition/ procedure pair),,,,,,,
2.2#02,2.2,interaction,29,p.27,Table 2.2: Examples of Off-Nominal Flightdeck Interactions with FOC,off-nominal,Preflight,,,report item no. 2,2,,FD,,FOC,,Concur with dispatch whether operations can continue,If precipitation accumulation on runway more than .5 inch,2. Concur with dispatch whether operations can continue (If precipitation accumulation on runway more than .5 inch),,,,,,,
2.2#03,2.2,interaction,29,p.27,Table 2.2: Examples of Off-Nominal Flightdeck Interactions with FOC,off-nominal,Preflight,,,report item no. 3,3,,FD,,FOC,,Confer with dispatch when necessary,If clearance differs from the Flight Release routing,3. Confer with dispatch when necessary (If clearance differs from the Flight Release routing),,,,,,,
2.2#04,2.2,interaction,29,p.27,Table 2.2: Examples of Off-Nominal Flightdeck Interactions with FOC,off-nominal,Preflight,,,report item no. 4,4,,FD,,FOC,,Coordinated with dispatch,If discrepancy in FDML at non-maintenance station,4. Coordinated with dispatch (If discrepancy in FDML at non-maintenance station),,,,,,,
2.2#05,2.2,interaction,29,p.27,Table 2.2: Examples of Off-Nominal Flightdeck Interactions with FOC,off-nominal,Inflight,,,report item no. 5,5,,FD,,FOC,,"Captain and dispatch exercise teamwork, initiative, and good judgment with ultimate responsibility with the captain",If emergency,"5. Captain and dispatch exercise teamwork, initiative, and good judgment with ultimate responsibility with the captain (If emergency)",,,,,,,
2.2#06,2.2,interaction,29,p.27,Table 2.2: Examples of Off-Nominal Flightdeck Interactions with FOC,off-nominal,Inflight,,,report item no. 6,6,,FD,,FOC,,Consult dispatch,If criminal acts,6. Consult dispatch (If criminal acts),,,,,,,
2.2#07,2.2,interaction,29,p.27,Table 2.2: Examples of Off-Nominal Flightdeck Interactions with FOC,off-nominal,Inflight,,,report item no. 7,7,,FD,,FOC,,Contact dispatch to obtain new flight plan,"If prior to ETOPS entry, significant ATC reroute","7. Contact dispatch to obtain new flight plan (If prior to ETOPS entry, significant ATC reroute)",,,,,,,
2.2#08,2.2,interaction,29,p.27,Table 2.2: Examples of Off-Nominal Flightdeck Interactions with FOC,off-nominal,Inflight,,,report item no. 8,8,,FD,,FOC,,Coordinate with dispatch,"If after ETOPS entry, alternate forecast is revised below limits","8. Coordinate with dispatch (If after ETOPS entry, alternate forecast is revised below limits)",,,,,,,
2.2#09,2.2,interaction,29,p.27,Table 2.2: Examples of Off-Nominal Flightdeck Interactions with FOC,off-nominal,Inflight,,,report item no. 9,9,,FD,,FOC,,Coordinate with dispatch,If pilot incapacitation,9. Coordinate with dispatch (If pilot incapacitation),,,,,,,
2.2#10,2.2,interaction,29,p.27,Table 2.2: Examples of Off-Nominal Flightdeck Interactions with FOC,off-nominal,Inflight,,,report item no. 10,10,,FD,,FOC,,Determine nearest suitable airport with dispatch,If FAA does not define suitable airport for emergency landing,10. Determine nearest suitable airport with dispatch (If FAA does not define suitable airport for emergency landing),,,,,,,
2.3#01,2.3,interaction,30,p.28,Table 2.3: Most Frequent Interactions Under Nominal Conditions by Phase of Flight,nominal,Preflight,,,,1,,FD,,,,Request PDC via ACARS,,Request PDC via ACARS,,>2 of 4 (listed only if above threshold),,"pilot survey (n=11, one operator)",,,
2.3#02,2.3,interaction,30,p.28,Table 2.3: Most Frequent Interactions Under Nominal Conditions by Phase of Flight,nominal,Preflight,,,,2,,FD,,ATC,,Inform ATC on initial contact of the ATIS identifier they have reviewed,,Inform ATC on initial contact of the ATIS identifier they have reviewed,,>2 of 4 (listed only if above threshold),,"pilot survey (n=11, one operator)",,n/a (flight-crew or FOC procedure; outside JO 7110.65),obj_group-inferred-from-text
2.3#03,2.3,interaction,30,p.28,Table 2.3: Most Frequent Interactions Under Nominal Conditions by Phase of Flight,nominal,Preflight,,,,3,,FD,,ATC/FOC,,Call dispatch when at the gate to get preflight briefings,,Call dispatch when at the gate to get preflight briefings,,>2 of 4 (listed only if above threshold),,"pilot survey (n=11, one operator)",,n/a (flight-crew or FOC procedure; outside JO 7110.65),obj_group-inferred-from-text
2.3#04,2.3,interaction,30,p.28,Table 2.3: Most Frequent Interactions Under Nominal Conditions by Phase of Flight,nominal,Taxi,,,,4,,FD,,ATC,,Obtain taxi clearance from ATC prior to taxiing onto a movement area,,Obtain taxi clearance from ATC prior to taxiing onto a movement area,,>2 of 4 (listed only if above threshold),,"pilot survey (n=11, one operator)",,n/a (flight-crew or FOC procedure; outside JO 7110.65),obj_group-inferred-from-text
2.3#05,2.3,interaction,30,p.28,Table 2.3: Most Frequent Interactions Under Nominal Conditions by Phase of Flight,nominal,Taxi,,,,5,,FD,,ATC,,Acknowledge any hold short instructions to ATC,,Acknowledge any hold short instructions to ATC,,>2 of 4 (listed only if above threshold),,"pilot survey (n=11, one operator)",,n/a (flight-crew or FOC procedure; outside JO 7110.65),obj_group-inferred-from-text
2.3#06,2.3,interaction,30,p.28,Table 2.3: Most Frequent Interactions Under Nominal Conditions by Phase of Flight,nominal,Taxi/takeoff,,,,6,,FD,,ATC,,Request ATC clearance prior to operating an aircraft on a runway or taxiway or taking off,,Request ATC clearance prior to operating an aircraft on a runway or taxiway or taking off,,>2 of 4 (listed only if above threshold),,"pilot survey (n=11, one operator)",,n/a (flight-crew or FOC procedure; outside JO 7110.65),obj_group-inferred-from-text
2.3#07,2.3,interaction,30,p.28,Table 2.3: Most Frequent Interactions Under Nominal Conditions by Phase of Flight,nominal,Inflight,,,,7,,FD,,,,Report vacating any previously assigned altitude or flight level for a newly assigned level.,,Report vacating any previously assigned altitude or flight level for a newly assigned level.,,>2 of 4 (listed only if above threshold),,"pilot survey (n=11, one operator)",,,
2.3#08,2.3,interaction,30,p.28,Table 2.3: Most Frequent Interactions Under Nominal Conditions by Phase of Flight,nominal,Inflight,,,,8,,FD,,,,Acknowledge receipt of traffic advisories,,Acknowledge receipt of traffic advisories,,>2 of 4 (listed only if above threshold),,"pilot survey (n=11, one operator)",,,
2.3#09,2.3,interaction,30,p.28,Table 2.3: Most Frequent Interactions Under Nominal Conditions by Phase of Flight,nominal,Inflight,,,,9,,FD,,ATC,,Inform ATC if traffic in sight,,Inform ATC if traffic in sight,,>2 of 4 (listed only if above threshold),,"pilot survey (n=11, one operator)",,n/a (flight-crew or FOC procedure; outside JO 7110.65),obj_group-inferred-from-text
2.3#10,2.3,interaction,30,p.28,Table 2.3: Most Frequent Interactions Under Nominal Conditions by Phase of Flight,nominal,Inflight,,,,10,,FD,,ATC,,Advise ATC prior to any altitude change to ensure the exchange of accurate traffic information,,Advise ATC prior to any altitude change to ensure the exchange of accurate traffic information,,>2 of 4 (listed only if above threshold),,"pilot survey (n=11, one operator)",,n/a (flight-crew or FOC procedure; outside JO 7110.65),obj_group-inferred-from-text
2.3#11,2.3,interaction,30,p.28,Table 2.3: Most Frequent Interactions Under Nominal Conditions by Phase of Flight,nominal,Inflight,,,,11,,FD,,,,"Confirm clearance paying attention those received in areas of high terrain, or include a change to heading, route/waypoints, altitude, or involve instructions for holding short of a runway",,"Confirm clearance paying attention those received in areas of high terrain, or include a change to heading, route/waypoints, altitude, or involve instructions for holding short of a runway",,>2 of 4 (listed only if above threshold),,"pilot survey (n=11, one operator)",,,
2.4#01,2.4,interaction,30,p.28,Table 2.4: Most Frequent Interactions Under Off-Nominal Conditions by Phase of Flight,off-nominal,Preflight,,,,1,,FD,,ATC/FOC,,Communicate mechanical delays to dispatch,,Communicate mechanical delays to dispatch,,>2 of 4 (listed only if above threshold),,"pilot survey (n=11, one operator)",,n/a (flight-crew or FOC procedure; outside JO 7110.65),obj_group-inferred-from-text
2.4#02,2.4,interaction,30,p.28,Table 2.4: Most Frequent Interactions Under Off-Nominal Conditions by Phase of Flight,off-nominal,Preflight,,,,2,,FD,,ATC/FOC,,Notify dispatch if FOB exceeds release fuel,If weight restricted flight,Notify dispatch if FOB exceeds release fuel (If weight restricted flight),,>2 of 4 (listed only if above threshold),,"pilot survey (n=11, one operator)",,n/a (flight-crew or FOC procedure; outside JO 7110.65),obj_group-inferred-from-text
2.4#03,2.4,interaction,30,p.28,Table 2.4: Most Frequent Interactions Under Off-Nominal Conditions by Phase of Flight,off-nominal,Preflight,,,,3,,FD,,ATC/FOC,,Contact dispatch,If performance limitations or inflight restrictions preclude operations,Contact dispatch (If performance limitations or inflight restrictions preclude operations),,>2 of 4 (listed only if above threshold),,"pilot survey (n=11, one operator)",,n/a (flight-crew or FOC procedure; outside JO 7110.65),obj_group-inferred-from-text
2.4#04,2.4,interaction,30,p.28,Table 2.4: Most Frequent Interactions Under Off-Nominal Conditions by Phase of Flight,off-nominal,Preflight,,,,4,,FD,,ATC/FOC,,Captain and dispatch will determine if pair is acceptable,If SPAR condition/procedure pair,Captain and dispatch will determine if pair is acceptable (If SPAR condition/procedure pair),,>2 of 4 (listed only if above threshold),,"pilot survey (n=11, one operator)",,n/a (flight-crew or FOC procedure; outside JO 7110.65),obj_group-inferred-from-text
2.4#05,2.4,interaction,30,p.28,Table 2.4: Most Frequent Interactions Under Off-Nominal Conditions by Phase of Flight,off-nominal,Preflight,,,,5,,FD,,ATC,,Obtain clearance from ATC prior to starting engines and/ or taxiing out of any de/anti-icing area,,Obtain clearance from ATC prior to starting engines and/ or taxiing out of any de/anti-icing area,,>2 of 4 (listed only if above threshold),,"pilot survey (n=11, one operator)",,n/a (flight-crew or FOC procedure; outside JO 7110.65),obj_group-inferred-from-text
2.4#06,2.4,interaction,30,p.28,Table 2.4: Most Frequent Interactions Under Off-Nominal Conditions by Phase of Flight,off-nominal,Inflight,,,,6,,FD,,ATC,,Contact ATC as early as possible for deviations,If hazardous weather,Contact ATC as early as possible for deviations (If hazardous weather),,>2 of 4 (listed only if above threshold),,"pilot survey (n=11, one operator)",,n/a (flight-crew or FOC procedure; outside JO 7110.65),obj_group-inferred-from-text
2.4#07,2.4,interaction,30,p.28,Table 2.4: Most Frequent Interactions Under Off-Nominal Conditions by Phase of Flight,off-nominal,Inflight,,,,7,,FD,,ATC,,Keep ATC advised of intentions and obtain traffic information,If deviation greater than 10 NM,Keep ATC advised of intentions and obtain traffic information (If deviation greater than 10 NM),,>2 of 4 (listed only if above threshold),,"pilot survey (n=11, one operator)",,n/a (flight-crew or FOC procedure; outside JO 7110.65),obj_group-inferred-from-text
2.5#01,2.5,interaction,31,p.29,Table 2.5: Most Critical Interactions Under Nominal Conditions by Phase of Flight,nominal,Preflight,,,,1,,FD,,,,Request PDC via ACARS,,Request PDC via ACARS,,,>2.5 of 3 (listed only if above threshold),"pilot survey (n=11, one operator)",,,
2.5#02,2.5,interaction,31,p.29,Table 2.5: Most Critical Interactions Under Nominal Conditions by Phase of Flight,nominal,Taxi,,,,2,,FD,,ATC,,Advise ATC if either pilot is uncertain of airport orientation of location on runway,,Advise ATC if either pilot is uncertain of airport orientation of location on runway,,,>2.5 of 3 (listed only if above threshold),"pilot survey (n=11, one operator)",,n/a (flight-crew or FOC procedure; outside JO 7110.65),obj_group-inferred-from-text
2.5#03,2.5,interaction,31,p.29,Table 2.5: Most Critical Interactions Under Nominal Conditions by Phase of Flight,nominal,Taxi,,,,3,,FD,,ATC,,Obtain taxi clearance from ATC prior to taxiing onto a movement area,,Obtain taxi clearance from ATC prior to taxiing onto a movement area,,,>2.5 of 3 (listed only if above threshold),"pilot survey (n=11, one operator)",,n/a (flight-crew or FOC procedure; outside JO 7110.65),obj_group-inferred-from-text
2.5#04,2.5,interaction,31,p.29,Table 2.5: Most Critical Interactions Under Nominal Conditions by Phase of Flight,nominal,Taxi,,,,4,,FD,,ATC,,Acknowledge any hold short instructions to ATC,,Acknowledge any hold short instructions to ATC,,,>2.5 of 3 (listed only if above threshold),"pilot survey (n=11, one operator)",,n/a (flight-crew or FOC procedure; outside JO 7110.65),obj_group-inferred-from-text
2.5#05,2.5,interaction,31,p.29,Table 2.5: Most Critical Interactions Under Nominal Conditions by Phase of Flight,nominal,Taxi,,,,5,,FD,,ATC,,Contact ATC if holding in position for more than 90 seconds or upon seeing a potential conflict,,Contact ATC if holding in position for more than 90 seconds or upon seeing a potential conflict,,,>2.5 of 3 (listed only if above threshold),"pilot survey (n=11, one operator)",,n/a (flight-crew or FOC procedure; outside JO 7110.65),obj_group-inferred-from-text
2.5#06,2.5,interaction,31,p.29,Table 2.5: Most Critical Interactions Under Nominal Conditions by Phase of Flight,nominal,Taxi/takeoff,,,,6,,FD,,ATC,,Request ATC clearance prior to operating an aircraft on a runway or taxiway or taking off,,Request ATC clearance prior to operating an aircraft on a runway or taxiway or taking off,,,>2.5 of 3 (listed only if above threshold),"pilot survey (n=11, one operator)",,n/a (flight-crew or FOC procedure; outside JO 7110.65),obj_group-inferred-from-text
2.5#07,2.5,interaction,31,p.29,Table 2.5: Most Critical Interactions Under Nominal Conditions by Phase of Flight,nominal,Inflight,,,,7,,FD,,ATC,,Request clarification from ATC if uncertain of an ATC clearance,,Request clarification from ATC if uncertain of an ATC clearance,,,>2.5 of 3 (listed only if above threshold),"pilot survey (n=11, one operator)",,n/a (flight-crew or FOC procedure; outside JO 7110.65),obj_group-inferred-from-text
2.5#08,2.5,interaction,31,p.29,Table 2.5: Most Critical Interactions Under Nominal Conditions by Phase of Flight,nominal,Inflight,,,,8,,FD,,,,Make en route position reports for traffic control purpose at all compulsory points and at additional points as requested by FAA,,Make en route position reports for traffic control purpose at all compulsory points and at additional points as requested by FAA,,,>2.5 of 3 (listed only if above threshold),"pilot survey (n=11, one operator)",,,
2.5#09,2.5,interaction,31,p.29,Table 2.5: Most Critical Interactions Under Nominal Conditions by Phase of Flight,nominal,Inflight,,,,9,,FD,,ATC,,Advise ATC if unable to maintain visual separation,,Advise ATC if unable to maintain visual separation,,,>2.5 of 3 (listed only if above threshold),"pilot survey (n=11, one operator)",,n/a (flight-crew or FOC procedure; outside JO 7110.65),obj_group-inferred-from-text
2.5#10,2.5,interaction,31,p.29,Table 2.5: Most Critical Interactions Under Nominal Conditions by Phase of Flight,nominal,Inflight,,,,10,,FD,,,,"Confirm clearance paying attention those received in areas of high terrain, or include a change to heading, route/waypoints, altitude, or involve instructions for holding short of a runway",,"Confirm clearance paying attention those received in areas of high terrain, or include a change to heading, route/waypoints, altitude, or involve instructions for holding short of a runway",,,>2.5 of 3 (listed only if above threshold),"pilot survey (n=11, one operator)",,,
2.6#01,2.6,interaction,31,p.29,Table 2.6: Most Critical Interactions Under Off-Nominal Conditions by Phase of Flight,off-nominal,Taxi,,,,1,,FD,,ATC/FOC,,Contact dispatch,If discrepancy prior to takeoff,Contact dispatch (If discrepancy prior to takeoff),,,>2.5 of 3 (listed only if above threshold),"pilot survey (n=11, one operator)",,n/a (flight-crew or FOC procedure; outside JO 7110.65),obj_group-inferred-from-text
2.6#02,2.6,interaction,31,p.29,Table 2.6: Most Critical Interactions Under Off-Nominal Conditions by Phase of Flight,off-nominal,Inflight,,,,2,,FD,,ATC,,Obtain ATC clearance,If diverting,Obtain ATC clearance (If diverting),,,>2.5 of 3 (listed only if above threshold),"pilot survey (n=11, one operator)",,n/a (flight-crew or FOC procedure; outside JO 7110.65),obj_group-inferred-from-text
2.6#03,2.6,interaction,31,p.29,Table 2.6: Most Critical Interactions Under Off-Nominal Conditions by Phase of Flight,off-nominal,Inflight,,,,3,,FD,,,,Declare emergency fuel status,If emergency fuel advisory,Declare emergency fuel status (If emergency fuel advisory),,,>2.5 of 3 (listed only if above threshold),"pilot survey (n=11, one operator)",,,
2.6#04,2.6,interaction,31,p.29,Table 2.6: Most Critical Interactions Under Off-Nominal Conditions by Phase of Flight,off-nominal,Inflight,,,,4,,FD,,ATC/FOC,,Determine nearest suitable airport with dispatch,If emergency landing,Determine nearest suitable airport with dispatch (If emergency landing),,,>2.5 of 3 (listed only if above threshold),"pilot survey (n=11, one operator)",,n/a (flight-crew or FOC procedure; outside JO 7110.65),obj_group-inferred-from-text
2.6#05,2.6,interaction,31,p.29,Table 2.6: Most Critical Interactions Under Off-Nominal Conditions by Phase of Flight,off-nominal,Inflight,,,,5,,FD,,ATC/FOC,,Notify dispatch,If landing at unauthorized airport,Notify dispatch (If landing at unauthorized airport),,,>2.5 of 3 (listed only if above threshold),"pilot survey (n=11, one operator)",,n/a (flight-crew or FOC procedure; outside JO 7110.65),obj_group-inferred-from-text
2.6#06,2.6,interaction,31,p.29,Table 2.6: Most Critical Interactions Under Off-Nominal Conditions by Phase of Flight,off-nominal,Inflight,,,,6,,FD,,ATC/FOC,,Contact ATC and dispatch once aircraft is under control,If emergency,Contact ATC and dispatch once aircraft is under control (If emergency),,,>2.5 of 3 (listed only if above threshold),"pilot survey (n=11, one operator)",,n/a (flight-crew or FOC procedure; outside JO 7110.65),obj_group-inferred-from-text
2.6#07,2.6,interaction,31,p.29,Table 2.6: Most Critical Interactions Under Off-Nominal Conditions by Phase of Flight,off-nominal,Inflight,,,,7,,FD,,ATC,,Contact ATC as early as possible for deviations,If hazardous weather,Contact ATC as early as possible for deviations (If hazardous weather),,,>2.5 of 3 (listed only if above threshold),"pilot survey (n=11, one operator)",,n/a (flight-crew or FOC procedure; outside JO 7110.65),obj_group-inferred-from-text
,2.7,header,33,p.31,Table 2.7: Examples of ATC Interactions Under Nominal Conditions,nominal,,,,Interactions with Flightdeck,,,,,,,Interactions with Flightdeck,,,,,,,,,
,2.7,header,33,p.31,Table 2.7: Examples of ATC Interactions Under Nominal Conditions,nominal,,,,"Interactions with Flightdeck | By En Route, TRACON and Tower Controllers",,,,,,,"By En Route, TRACON and Tower Controllers",,,,,,,,,
2.7#01,2.7,interaction,33,p.31,Table 2.7: Examples of ATC Interactions Under Nominal Conditions,nominal,,,,"Interactions with Flightdeck | By En Route, TRACON and Tower Controllers",1,,ATC,"En Route, TRACON and Tower Controllers",FD,,Initial contact with pilots,,Initial contact with pilots,,,,,,2-1-15 (PDF p.46); 2-4-1 (PDF p.79),
2.7#02,2.7,interaction,33,p.31,Table 2.7: Examples of ATC Interactions Under Nominal Conditions,nominal,,,,"Interactions with Flightdeck | By En Route, TRACON and Tower Controllers",2,,ATC,"En Route, TRACON and Tower Controllers",FD,,Request pilots to contact other controller onto a new frequency,,Request pilots to contact other controller onto a new frequency,,,,,,2-1-15 (PDF p.46); 2-4-1 (PDF p.79),
2.7#03,2.7,interaction,33,p.31,Table 2.7: Examples of ATC Interactions Under Nominal Conditions,nominal,,,,"Interactions with Flightdeck | By En Route, TRACON and Tower Controllers",3,,ATC,"En Route, TRACON and Tower Controllers",FD,,Read back communication from pilots,,Read back communication from pilots,,,,,,2-4-3 (PDF p.79),
2.7#04,2.7,interaction,33,p.31,Table 2.7: Examples of ATC Interactions Under Nominal Conditions,nominal,,,,"Interactions with Flightdeck | By En Route, TRACON and Tower Controllers",4,,ATC,"En Route, TRACON and Tower Controllers",FD,,"Request pilots to report identification, position, altitude, or information",,"Request pilots to report identification, position, altitude, or information",,,,,,no rule matched,
2.7#05,2.7,interaction,33,p.31,Table 2.7: Examples of ATC Interactions Under Nominal Conditions,nominal,,,,"Interactions with Flightdeck | By En Route, TRACON and Tower Controllers",5,,ATC,"En Route, TRACON and Tower Controllers",FD,,Check with pilots if STAR or ATIS (if applicable) statuses are current,,Check with pilots if STAR or ATIS (if applicable) statuses are current,,,,,,2-9-2 (PDF p.111); 2-9-3 (PDF p.112),
2.7#06,2.7,interaction,33,p.31,Table 2.7: Examples of ATC Interactions Under Nominal Conditions,nominal,,,,"Interactions with Flightdeck | By En Route, TRACON and Tower Controllers",6,,ATC,"En Route, TRACON and Tower Controllers",FD,,Relay ATIS information to pilots,,Relay ATIS information to pilots,,,,,,2-9-2 (PDF p.111); 2-9-3 (PDF p.112),
